cluster,miRNA,mean_in_cluster,mean_other_clusters,log2fc_vs_rest,p_value,fdr
1,hsa-mir-374a,4.360496122542439,0.7129612966561187,3.64753482588632,5.494126350737218e-6,4.709251157774758e-5
1,hsa-mir-101-1,9.099268467259238,5.626145538425572,3.473122928833666,1.5428521657059363e-10,6.017123446253151e-9
1,hsa-mir-101-2,9.12124127432411,5.649606374340637,3.4716348999834725,1.154945153591128e-10,5.1477555417204554e-9
1,hsa-mir-19b-2,2.8511798645090796,-0.5930372108049569,3.4442170753140364,9.273636939243251e-11,4.383901098551355e-9
1,hsa-mir-20a,7.248622923243146,3.9631943497290907,3.2854285735140554,1.3033690769351288e-11,7.820214461610773e-10
1,hsa-mir-218-2,4.424145126037036,1.3207338510216038,3.103411275015432,8.166315019073188e-15,1.4154946033060195e-12
1,hsa-mir-135b,5.4980034949095495,2.4070895311067093,3.0909139638028402,8.65157457313787e-8,1.2853767937233407e-6
1,hsa-mir-19b-1,3.860767167964795,0.8346525680795364,3.0261145998852585,1.767065973855599e-9,4.922540927169169e-8
1,hsa-mir-21,15.143231618498247,12.187177454618432,2.9560541638798146,2.065805080741819e-12,1.6961346978722303e-10
1,hsa-mir-96,3.900201644867388,1.0631470089609283,2.8370546359064597,2.6661259214107707e-10,9.452628266820005e-9
1,hsa-let-7f-2,12.096156727708301,9.281905063043032,2.814251664665269,3.1813382703117297e-16,1.480636302735915e-13
1,hsa-let-7f-1,12.068843703431815,9.26271828680368,2.8061254166281344,3.7965033403485e-16,1.480636302735915e-13
1,hsa-mir-19a,1.5771667879906826,-1.221166246522709,2.7983330345133917,4.57863788187173e-9,1.0988730916492152e-7
1,hsa-mir-582,5.0401923721565405,2.3063209116004586,2.733871460556082,5.877997718557085e-7,7.161339262654519e-6
1,hsa-mir-542,4.7078275108349255,2.003424428087957,2.7044030827469685,8.33568485832415e-8,1.2503527287486225e-6
1,hsa-mir-15a,6.156039613192588,3.4546970150612513,2.701342598131337,1.8459925186864194e-15,4.113926184501163e-13
1,hsa-mir-338,6.59858006704176,3.930170302257517,2.6684097647842426,5.046781661696321e-9,1.1750715510815315e-7
1,hsa-mir-142,4.507159710462768,1.8925275023155355,2.614632208147233,3.855463490446816e-4,0.00209565262895367
1,hsa-mir-301a,2.043981641827131,-0.556402682166637,2.600384323993768,1.5440044969673756e-7,2.0944756654513963e-6
1,hsa-mir-9-3,6.64271540941461,4.056116742592096,2.586598666822514,6.776959035149998e-8,1.0467382272112868e-6
1,hsa-mir-374b,5.0640819525215415,2.4796823637586596,2.584399588762882,2.989383724434065e-14,4.663438610117141e-12
1,hsa-mir-9-2,6.634070147984817,4.05979295482895,2.574277193155867,1.0251192042411505e-7,1.4811079894791652e-6
1,hsa-mir-9-1,6.6188837773121545,4.069175679244405,2.5497080980677493,5.417210236473143e-8,8.895629440945372e-7
1,hsa-mir-660,4.6848528519452906,2.1822319355202953,2.5026209164249953,4.4570753769951103e-11,2.242915351003991e-9
1,hsa-mir-429,5.920779516819365,3.44986126072012,2.4709182560992446,1.1696265713323468e-7,1.6587431375258736e-6
1,hsa-mir-144,2.1022141267306895,-0.36817331926432983,2.4703874459950192,6.752406356842265e-7,7.980116603540859e-6
1,hsa-mir-218-1,4.546934557736125,2.0796769596218194,2.4672575981143057,1.2099252637152608e-11,7.76210381310585e-10
1,hsa-mir-203b,5.058661330060609,2.6052693402365006,2.4533919898241083,2.2263832658099786e-8,4.170407816772424e-7
1,hsa-mir-651,0.9516586386373674,-1.4642340651954222,2.4158927038327898,2.6782890903520804e-17,4.1781309809492455e-14
1,hsa-mir-708,6.407919933577458,4.01272916994218,2.395190763635278,3.7904272680801873e-6,3.583676689821268e-5
1,hsa-mir-4677,1.9376630000389452,-0.45106381612555224,2.3887268161644974,4.762656402885645e-12,3.3771563584098206e-10
1,hsa-mir-194-1,6.674358712451701,4.315245731974059,2.359112980477642,5.1352509643685114e-12,3.483039784528208e-10
1,hsa-mir-590,1.1339808637995874,-1.2102696245352091,2.3442504883347963,2.639858204867362e-5,1.9425371696193795e-4
1,hsa-mir-29b-1,5.686730000527524,3.3512876801157203,2.3354423204118033,7.382536740583435e-7,8.594595011425492e-6
1,hsa-mir-141,9.100199881846473,6.816398319069845,2.2838015627766284,5.387144263441853e-6,4.668858361649606e-5
1,hsa-mir-152,6.507886447960304,4.232003994132398,2.275882453827905,1.7523768478996782e-13,2.2780899022695816e-11
1,hsa-mir-182,14.037015624822816,11.76527956504284,2.2717360597799754,1.767717751473457e-8,3.490683154808345e-7
1,hsa-mir-454,1.8809284844005414,-0.38797351642557965,2.268902000826121,4.5299327086036264e-10,1.4133390050843315e-8
1,hsa-mir-10a,15.22095606998502,12.979375213164289,2.2415808568207307,1.9710960476638492e-7,2.628128063551799e-6
1,hsa-mir-192,8.089909940129731,5.865724405282912,2.2241855348468187,3.401155887571477e-11,1.7686010615371682e-9
1,hsa-mir-98,5.211044840292736,2.987157454643358,2.223887385649378,7.864806495846965e-13,9.437767795016359e-11
1,hsa-mir-29c,8.085956312617226,5.884817973725786,2.2011383388914396,4.7418326870909413e-7,5.8708404697316416e-6
1,hsa-mir-4662a,2.642078981720462,0.44267075207938167,2.1994082296410804,1.975365361733061e-9,5.40626309526943e-8
1,hsa-mir-335,7.23222654333571,5.037894406587046,2.1943321367486632,2.539137591145029e-8,4.660064284924994e-7
1,hsa-mir-577,0.9901441238086462,-1.1246946333177148,2.114838757126361,4.460046436665263e-7,5.566137952958249e-6
1,hsa-mir-126,8.606773448943628,6.536761848166457,2.0700116007771703,6.166892613205294e-10,1.8863436228627958e-8
1,hsa-mir-135a-2,3.582254514040324,1.5172624533983374,2.0649920606419867,2.000400677062995e-5,1.500300507797246e-4
1,hsa-mir-3913-2,1.1780056653705684,-0.8749655883020621,2.0529712536726303,3.829060556834334e-9,9.48148328358978e-8
1,hsa-mir-181d,6.837694526934794,4.798433238032187,2.0392612889026074,3.252322827912859e-10,1.1029616546834914e-8
1,hsa-mir-135a-1,3.6559683356649773,1.6246145628590583,2.031353772805919,3.062642858729819e-5,2.20887854138183e-4
1,hsa-mir-3065,5.479083747447312,3.456406233924865,2.022677513522447,2.3409386779018168e-7,3.065080773511108e-6
1,hsa-mir-628,1.6098475065040068,-0.4078506899500942,2.017698196454101,1.073529583000734e-10,4.925606322003368e-9
1,hsa-mir-17,10.063315223291758,8.080931359505419,1.982383863786339,1.6107548907396798e-11,9.306583813162594e-10
1,hsa-mir-16-1,7.121130017874248,5.169125244445478,1.9520047734287695,1.083755234982041e-12,1.0669458624371575e-10
1,hsa-mir-340,3.563539133424262,1.6129961028923232,1.9505430305319387,1.2439268931259374e-11,7.76210381310585e-10
1,hsa-mir-16-2,7.188624491083663,5.257953722073918,1.9306707690097458,1.5049691291942398e-12,1.3810304950253023e-10
1,hsa-mir-653,0.7047876544549954,-1.2219012321767087,1.926688886631704,3.457905219244307e-10,1.1477302429832167e-8
1,hsa-mir-3913-1,1.178118100440471,-0.7395447619856663,1.9176628624261374,1.8475185110583845e-8,3.60266109656385e-7
1,hsa-let-7g,9.551971934750723,7.658955067003615,1.8930168677471082,7.86822739317051e-15,1.4154946033060195e-12
1,hsa-mir-148a,13.031613870502634,11.174928453179445,1.8566854173231881,5.25207971996497e-6,4.602946271429973e-5
1,hsa-mir-194-2,6.989322634195139,5.134603531875695,1.8547191023194438,1.317736701357321e-10,5.555862848966002e-9
1,hsa-mir-106a,3.3763990971255047,1.5231541726745081,1.8532449244509965,8.254758348625342e-9,1.7885309755354908e-7
1,hsa-mir-450b,0.47157029474882883,-1.377704844671088,1.849275139419917,4.4184254753778124e-7,5.558664307733376e-6
1,hsa-mir-421,2.6810843702895646,0.8318770592652196,1.849207311024345,3.3050122119532687e-12,2.5779095253235496e-10
1,hsa-mir-30b,7.685555383795556,5.839153617204272,1.846401766591284,5.782706805811623e-9,1.3266209730979606e-7
1,hsa-mir-452,4.786978257221154,2.972152669123681,1.8148255880974733,3.287595932301279e-6,3.146410830914108e-5
1,hsa-mir-26a-1,10.027702281924006,8.276377478534872,1.7513248033891333,1.0943034486534948e-12,1.0669458624371575e-10
1,hsa-mir-451a,5.932012043554559,4.1842262371868495,1.7477858063677099,4.59453473152065e-6,4.2161612830424785e-5
1,hsa-mir-143,13.526926888493017,11.792029519596614,1.7348973688964033,2.796923037715582e-9,7.522758515235015e-8
1,hsa-mir-107,7.451054484383213,5.7183124410504265,1.7327420433327863,2.694366990209493e-16,1.480636302735915e-13
1,hsa-mir-26a-2,10.037191227374699,8.312821437139462,1.7243697902352366,1.0629572721614506e-12,1.0669458624371575e-10
1,hsa-mir-1304,2.35219710746237,0.6404820792473116,1.7117150282150584,4.0486358530695626e-8,6.940518605262108e-7
1,hsa-mir-598,4.760227757709419,3.0501120843086027,1.7101156734008165,1.5333812557479465e-6,1.63840736915534e-5
1,hsa-mir-206,2.0154825519687134,0.31701950714551724,1.698463044823196,8.346850681637465e-4,0.00404381585818461
1,hsa-mir-103a-1,14.487239000638887,12.79181957962814,1.6954194210107474,9.957420009864324e-16,2.5889292025647244e-13
1,hsa-mir-103a-2,14.489479843721465,12.794836044915103,1.6946437988063625,9.849662762071075e-16,2.5889292025647244e-13
1,hsa-mir-5000,0.5416327980361184,-1.1420704098989398,1.6837032079350582,1.7856835292690955e-10,6.794308062584851e-9
1,hsa-mir-128-2,7.854874903360367,6.1727935480359335,1.6820813553244331,3.8273806140503675e-14,5.4279215981077935e-12
1,hsa-mir-22,14.323697011365358,12.646960154033012,1.6767368573323456,7.763238606427559e-9,1.7057256656376045e-7
1,hsa-mir-2355,2.8548966963902287,1.1908503572477742,1.6640463391424545,7.67679446146736e-7,8.805734823447854e-6
1,hsa-mir-203a,11.295666137804465,9.658425847989147,1.6372402898153187,3.2496714868962144e-5,2.2938857554561512e-4
1,hsa-mir-450a-2,0.44134701718143077,-1.1840480993790419,1.6253951165604725,9.402785548877864e-9,1.9942425507209386e-7
1,hsa-mir-20b,3.2544052989631544,1.630151345215747,1.6242539537474074,2.7916222719906697e-4,0.0015609070768119874
1,hsa-mir-450a-1,0.31561492518846707,-1.3034717994392313,1.6190867246276983,7.175368468179865e-9,1.5990821157657986e-7
1,hsa-mir-153-2,0.06701951674380037,-1.5205816073125513,1.5876011240563517,7.159007397787662e-5,4.6340462823853747e-4
1,hsa-mir-3613,2.221020219673786,0.6390224608168341,1.5819977588569518,4.464893813440384e-9,1.0883178670260935e-7
1,hsa-mir-199b,9.077531594311584,7.5012581319760425,1.576273462335541,1.5750116996502163e-6,1.6714409873839028e-5
1,hsa-mir-184,4.001351210067245,2.4390968262044876,1.5622543838627574,4.8568032630367803e-4,0.002568343420453348
1,hsa-mir-26b,8.581004256185535,7.023130530670248,1.5578737255152868,8.523589212448009e-7,9.63536171841949e-6
1,hsa-mir-181c,8.410904162925537,6.857837958144548,1.553066204780989,1.071257119322273e-7,1.533175326736464e-6
1,hsa-mir-5683,0.02693177253777709,-1.5194805519092656,1.5464123244470427,1.3861448351931442e-7,1.8968297744748289e-6
1,hsa-mir-576,3.6545384515556347,2.1480638152137956,1.506474636341839,3.510682896147718e-9,8.833331158049097e-8
1,hsa-mir-186,8.405020463073305,6.91911664905251,1.4859038140207943,3.078784986305874e-11,1.6561739926335047e-9
1,hsa-mir-93,13.83915066193393,12.359787232178109,1.4793634297558214,4.718284565504372e-12,3.3771563584098206e-10
1,hsa-mir-200b,11.132427027190337,9.65421050661549,1.478216520574847,1.3903904984432183e-9,3.9436530501298556e-8
1,hsa-mir-889,1.1302278961670824,-0.3346022769635398,1.4648301731306221,5.371725692212106e-4,0.0027840173022760416
1,hsa-mir-34a,6.39398092406742,4.934775479622806,1.4592054444446143,5.581908786521207e-8,9.070601778096962e-7
1,hsa-mir-196a-2,1.7296402580534147,0.27098934331433483,1.4586509147390798,0.0012183913807997865,0.005656817125141866
1,hsa-mir-196a-1,1.6933921762340056,0.26438732438523505,1.4290048518487706,7.458064637156476e-4,0.0036702147741211675
1,hsa-mir-223,6.306975993409301,4.879007070509913,1.427968922899388,2.8136425654009708e-6,2.778026836725009e-5
1,hsa-mir-29b-2,6.769077837219862,5.357360429674185,1.4117174075456767,7.698210779785531e-5,4.921806891994028e-4
1,hsa-mir-10b,15.703185863279145,14.294595007353328,1.4085908559258176,1.0611663531822245e-4,6.54316012238842e-4
1,hsa-mir-301b,0.8961953595926606,-0.5085788505723654,1.404774210165026,4.4437306549261095e-5,3.0009609617682813e-4
1,hsa-mir-7-1,4.662753415475717,3.266001544282351,1.3967518711933664,6.480907534334176e-8,1.0212339145011429e-6
1,hsa-mir-7156,1.43268738337106,0.036554197952987866,1.3961331854180723,3.7008912631764427e-5,2.5321887590154605e-4
