"sample_id","cluster"
"55fb058b-a120-400d-8e69-4e9ab4dbe5a1.mirbase21.mirnas.quantification.txt",2
"846f785e-0fb7-4fd6-a36a-8e642d050c71.mirbase21.mirnas.quantification.txt",1
"9b95700a-1c83-4f52-8634-928b5d20a0d4.mirbase21.mirnas.quantification.txt",4
"97f89216-7155-4125-8743-9dfa065f18a9.mirbase21.mirnas.quantification.txt",2
"a83edf78-2e81-4c38-a0d9-31ecde1f0ac1.mirbase21.mirnas.quantification.txt",4
"1f4965b2-353c-41a7-97e8-98ef7d625f7b.mirbase21.mirnas.quantification.txt",2
"275d247a-f015-43c8-aff3-aebff9c36816.mirbase21.mirnas.quantification.txt",1
"05327ee7-fee0-44f7-94f4-1f350c783410.mirbase21.mirnas.quantification.txt",1
"e9a0f14a-1f8e-4466-8c22-3b88ab6b03a6.mirbase21.mirnas.quantification.txt",2
"aea53e86-ea23-4a00-9b68-eb8dafcf17ea.mirbase21.mirnas.quantification.txt",1
"944015fa-f996-4d2a-8954-6a5e43e9f614.mirbase21.mirnas.quantification.txt",2
"e5850774-2c46-45c4-a352-098d49e1f3d4.mirbase21.mirnas.quantification.txt",4
"4ae7b146-68b1-46b7-b973-9eb2128baacc.mirbase21.mirnas.quantification.txt",2
"55a33443-d2df-4771-9fe0-6f33e6cc69ce.mirbase21.mirnas.quantification.txt",4
"4d9c130c-9fc7-4880-bcfb-d61f226f7715.mirbase21.mirnas.quantification.txt",1
"55058adc-6f17-4400-8e9c-16be92342533.mirbase21.mirnas.quantification.txt",4
"3ab42558-86e6-4d36-a977-258c3656ba27.mirbase21.mirnas.quantification.txt",4
"4f659b4e-e335-4fdd-acdd-f4d363440ef6.mirbase21.mirnas.quantification.txt",1
"a00d8c58-4840-41a0-bb3b-a1d63f9dfeb1.mirbase21.mirnas.quantification.txt",1
"2974afc9-7021-45f3-9c04-3ad77d15ab75.mirbase21.mirnas.quantification.txt",4
"c602b5bc-d557-4b1a-b69c-0d272dfffc63.mirbase21.mirnas.quantification.txt",4
"267afda3-a583-405d-83f4-77ab73658349.mirbase21.mirnas.quantification.txt",4
"1a01e309-ad6e-4964-a81e-533b04d47a86.mirbase21.mirnas.quantification.txt",1
"cc60786c-32d5-4a8d-9439-dfd61847580b.mirbase21.mirnas.quantification.txt",1
"2e4b6448-f67e-47f7-bc7e-1274b719b612.mirbase21.mirnas.quantification.txt",1
"0ede0d69-1aaf-4777-b03e-cc4a106b07d6.mirbase21.mirnas.quantification.txt",4
"989b0cf1-2efd-4d8b-9d87-fd2ad199f8d7.mirbase21.mirnas.quantification.txt",2
"fe6dae2d-81ee-4b3c-abf4-0b0756f3fe07.mirbase21.mirnas.quantification.txt",4
"ce5e1133-e1d1-4724-ad06-b034eaec4694.mirbase21.mirnas.quantification.txt",2
"b56790d6-3678-40bf-9e05-d5956086ae0d.mirbase21.mirnas.quantification.txt",4
"74765af0-0860-4a85-a788-ec981d9f71c3.mirbase21.mirnas.quantification.txt",4
"28bfb2b0-4e14-44e5-ad3a-e1d7ca3e4efd.mirbase21.mirnas.quantification.txt",4
"fba20f1c-3800-4494-89fd-13afab589b9f.mirbase21.mirnas.quantification.txt",2
"27b7aae2-07ed-4a4f-a6fa-c27a41355b90.mirbase21.mirnas.quantification.txt",1
"752e5e18-ec16-4799-bdf1-a0d049192581.mirbase21.mirnas.quantification.txt",1
"b11f9bbf-5c77-43aa-8c58-17edc9f181a5.mirbase21.mirnas.quantification.txt",1
"5b6dce21-6736-48a0-a805-2e4a9b1c940c.mirbase21.mirnas.quantification.txt",1
"b495eb0f-a0b2-4017-8989-86f9bc116742.mirbase21.mirnas.quantification.txt",4
"d78a635f-6a46-4c82-a6cb-20f133148214.mirbase21.mirnas.quantification.txt",4
"617626ba-04e4-45f0-83da-4f2d386a396a.mirbase21.mirnas.quantification.txt",4
"6e773590-88c4-4b6f-a4c4-e88cf0fd8185.mirbase21.mirnas.quantification.txt",2
"ca44698c-e99e-4789-a606-28b44af5d8e8.mirbase21.mirnas.quantification.txt",1
"35f29152-33a6-4861-9356-9d7430275a5d.mirbase21.mirnas.quantification.txt",4
"ff73a433-5f3b-41e0-aa7e-7415665ff3de.mirbase21.mirnas.quantification.txt",4
"f2526cd8-37c9-4d76-9bdc-37922ed52392.mirbase21.mirnas.quantification.txt",1
"146bf0ae-0c2a-4281-a1e5-ba31f0ba12bf.mirbase21.mirnas.quantification.txt",4
"ebfeed3f-5019-43c2-a4e0-9d7e7ec7abbf.mirbase21.mirnas.quantification.txt",1
"a177947e-4ac4-431d-a431-54c756eaabd2.mirbase21.mirnas.quantification.txt",4
"afee93af-90d1-4442-bc99-42f96251d3ce.mirbase21.mirnas.quantification.txt",4
"5b3bd1e9-bde7-4821-8694-53bffd484b15.mirbase21.mirnas.quantification.txt",4
"1c61adad-e43a-44a0-b6bb-69cbcc639f10.mirbase21.mirnas.quantification.txt",2
"13f82612-0824-461f-b5b4-03322e7984e6.mirbase21.mirnas.quantification.txt",1
"617cc00b-3cdb-4723-a441-6c3bd4976693.mirbase21.mirnas.quantification.txt",1
"056f33a9-2429-47a7-9767-f535dccc224a.mirbase21.mirnas.quantification.txt",2
"07a1428c-f519-4818-853f-a9a20dc111a8.mirbase21.mirnas.quantification.txt",4
"4c7812eb-0939-4521-8dbf-bfe2cb1c73d9.mirbase21.mirnas.quantification.txt",4
"4c1e41e7-725e-477d-95e5-17befad245a5.mirbase21.mirnas.quantification.txt",1
"20e569b2-2679-4e3a-b81d-3c210253c3e1.mirbase21.mirnas.quantification.txt",1
