iteration,original_cluster,n_original,n_inbag_original,best_bootstrap_cluster,best_jaccard
1,1,29,21,1,0.56
1,2,84,54,4,0.2403846153846154
1,3,219,144,2,0.5449101796407185
1,4,64,40,3,0.8604651162790697
1,5,100,60,5,0.76
2,1,29,21,4,0.6333333333333333
2,2,84,54,1,0.5949367088607594
2,3,219,142,5,0.7583892617449665
2,4,64,37,2,0.9459459459459459
2,5,100,60,3,0.9193548387096774
3,1,29,20,4,0.76
3,2,84,51,3,0.8103448275862069
3,3,219,140,5,0.9047619047619048
3,4,64,39,2,0.8974358974358975
3,5,100,69,1,0.8493150684931506
4,1,29,21,2,0.6666666666666666
4,2,84,51,5,0.5652173913043478
4,3,219,132,3,0.7931034482758621
4,4,64,42,4,0.9302325581395349
4,5,100,64,1,0.8108108108108109
5,1,29,13,2,0.5652173913043478
5,2,84,55,5,0.6229508196721312
5,3,219,139,4,0.8376623376623377
5,4,64,37,1,0.9473684210526315
5,5,100,66,3,0.8823529411764706
6,1,29,13,5,0.09375
6,2,84,56,3,0.4626865671641791
6,3,219,143,1,0.5847953216374269
6,4,64,39,2,0.8974358974358975
6,5,100,72,5,0.6125
7,1,29,21,5,0.6666666666666666
7,2,84,52,3,0.43023255813953487
7,3,219,136,2,0.6329113924050633
7,4,64,43,1,0.7906976744186046
7,5,100,63,4,0.8333333333333334
8,1,29,20,4,0.14893617021276595
8,2,84,63,2,0.4225352112676056
8,3,219,130,1,0.678082191780822
8,4,64,46,4,0.5094339622641509
8,5,100,66,3,0.8181818181818182
9,1,29,16,5,0.5161290322580645
9,2,84,58,2,0.75
9,3,219,130,3,0.7943262411347518
9,4,64,40,1,0.9069767441860465
9,5,100,61,4,0.8709677419354839
10,1,29,19,5,0.5428571428571428
10,2,84,57,3,0.7878787878787878
10,3,219,139,2,0.8428571428571429
10,4,64,45,4,0.9565217391304348
10,5,100,58,1,0.9661016949152542
11,1,29,14,1,0.5416666666666666
11,2,84,45,4,0.5441176470588235
11,3,219,141,2,0.7905405405405406
11,4,64,39,3,0.8409090909090909
11,5,100,63,5,0.7846153846153846
12,1,29,18,3,0.8095238095238095
12,2,84,52,4,0.7903225806451613
12,3,219,132,1,0.8985507246376812
12,4,64,40,2,0.75
12,5,100,58,5,0.859375
13,1,29,16,1,0.7272727272727273
13,2,84,55,2,0.7692307692307693
13,3,219,147,5,0.8451612903225807
13,4,64,38,4,0.8205128205128205
13,5,100,61,3,0.9375
14,1,29,22,2,0.76
14,2,84,58,1,0.2857142857142857
14,3,219,140,5,0.5379746835443038
14,4,64,42,3,0.9069767441860465
