cluster,miRNA,mean_in_cluster,mean_other_clusters,log2fc_vs_rest,p_value,fdr
1,hsa-mir-374a,4.360496122542439,0.7129612966561187,3.64753482588632,5.494126350737218e-6,4.709251157774758e-5
1,hsa-mir-101-1,9.099268467259238,5.626145538425572,3.473122928833666,1.5428521657059363e-10,6.017123446253151e-9
1,hsa-mir-101-2,9.12124127432411,5.649606374340637,3.4716348999834725,1.154945153591128e-10,5.1477555417204554e-9
1,hsa-mir-19b-2,2.8511798645090796,-0.5930372108049569,3.4442170753140364,9.273636939243251e-11,4.383901098551355e-9
1,hsa-mir-20a,7.248622923243146,3.9631943497290907,3.2854285735140554,1.3033690769351288e-11,7.820214461610773e-10
2,hsa-mir-483,8.288625720550815,6.330640620655855,1.9579850998949597,5.873463638971455e-6,8.254597546662585e-5
2,hsa-mir-4745,2.880301461702275,0.9352863280465569,1.945015133655718,8.163375327670302e-27,6.3674327555828356e-24
2,hsa-mir-3200,7.036303959894862,5.246479009618317,1.7898249502765449,3.047409944063778e-19,5.942449390924367e-17
2,hsa-mir-3620,2.8250072569125555,1.0956996890517585,1.729307567860797,2.9129299362736414e-25,1.5147235668622934e-22
2,hsa-mir-1269b,3.4849646154370424,1.8772993970231526,1.6076652184138898,0.0013070158527071461,0.008676360554141055
3,hsa-mir-150,9.796202443459137,8.733471436007484,1.062731007451653,4.4646731343573926e-13,3.0282130824337095e-11
3,hsa-mir-31,2.9559135016224602,2.113305451798616,0.8426080498238444,1.0793955481588576e-6,1.772481110660861e-5
3,hsa-mir-7641-1,2.5108707705122555,1.738136663218885,0.7727341072933704,1.4245217300931755e-8,3.7037564982422564e-7
3,hsa-mir-1247,5.718049840275594,5.038341325436917,0.6797085148386763,1.3098057223021472e-6,2.063936289688232e-5
3,hsa-mir-3607,4.362737019080064,3.696725569324654,0.6660114497554099,6.098636728480763e-5,6.098636728480763e-4
4,hsa-mir-517a,3.601049543286011,-1.4946058327270662,5.095655376013077,2.4697543812656296e-53,6.421361391290637e-51
4,hsa-mir-517b,3.5983293689756235,-1.495275585506239,5.0936049544818625,2.426662919998485e-53,6.421361391290637e-51
4,hsa-mir-526b,3.5221472287951108,-1.3952557557040466,4.917402984499157,2.3462474582027716e-48,2.8154969498433257e-46
4,hsa-mir-520a,2.8284005449542384,-1.145881377411001,3.9742819223652397,8.06628080854102e-41,6.291699030661996e-39
4,hsa-mir-518c,2.289541144645247,-1.6027740708695275,3.892315215514775,5.929859456200756e-55,3.083526917224393e-52
5,hsa-mir-508,12.156215731683655,5.282382365820864,6.873833365862791,1.1388057288180893e-49,1.7765369369562192e-47
5,hsa-mir-202,7.8892053773122885,1.3209755854050251,6.568229791907264,6.49149270938662e-42,6.751152417762084e-40
5,hsa-mir-509-3,9.891405901713165,3.7803855649741576,6.111020336739008,4.433504403568225e-50,1.0717839167929902e-47
5,hsa-mir-509-2,9.642202334271564,3.619328749207649,6.022873585063915,5.343367266340411e-50,1.0717839167929902e-47
5,hsa-mir-509-1,9.646813702100012,3.628836167911706,6.017977534188306,5.664142303188115e-50,1.0717839167929902e-47
