"sample","assigned_subtype","max_score","C1_immL","C2_diffL","C3_profL","C4_mescL"
"8fd3c3ec-c5c5-4ded-bcbb-387ddc1ba5f7.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.245431468826278,-0.274542025702306,0.245431468826278,0.20014803733773,-0.179904505909633
"c42ab178-9ded-405c-8eab-69583c4b1ad0.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.411101317732456,-0.516809094844713,0.38215148453588,0.411101317732456,-0.298009242511401
"04eeb9f5-2fd6-4df3-ade8-cdb8d77f4273.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.514995137080944,0.514995137080944,-0.17997924215404,-0.568254182406908,-0.0199326307799055
"a14ac53b-7e97-46f3-9dce-41a2a9010f17.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.0157783202601603,-0.027826868220824,0.0157783202601603,-0.0922742597391815,-0.154520439086008
"d6326578-95eb-4f9e-967c-47fb32c04166.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.576021806040694,0.576021806040694,-0.217409636986773,-0.563033735018355,0.0565215006256561
"a761adf7-b265-4d1d-90be-82dbfd776e45.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.370334859420127,-0.320981345961109,0.0581421320150672,0.370334859420127,0.0375237215563713
"86e119a6-1c89-4a1d-9823-2fb95e180ea8.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.351479584003932,-0.334463418394881,0.351479584003932,0.225410975964133,-0.342546835247861
"d6c55f59-f1cd-48bf-9628-94fcfb867bff.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.496513820771781,0.496513820771781,-0.268891570907556,-0.506025275318314,0.187109706267828
"b6bc859c-c245-47ba-9c47-92c1c33d42c8.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.265562546743516,-0.107924260035701,0.265562546743516,0.0475887779247197,-0.268904078921618
"98990aa6-30f1-4a05-aecb-a13b907c2f57.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.277708874064398,-0.3600292516442,0.277708874064398,0.194926403871358,-0.24183800549154
"7d8d9d6c-b701-4eda-8e36-c36ca7c90903.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.492716963284961,0.492716963284961,-0.151379419724728,-0.627205363443896,0.00664077557628556
"84e6a0b4-7a1f-4a9a-80b7-b59c6d2132c2.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.500764390145799,-0.649490431317199,0.500764390145799,0.42788632037148,-0.425799416449713
