"row_method","column_method","row_subtype","column_subtype","n"
"consensusOV","konecny","DIF_consensus","C1_immL",14
"consensusOV","konecny","DIF_consensus","C2_diffL",84
"consensusOV","konecny","DIF_consensus","C3_profL",14
"consensusOV","konecny","DIF_consensus","C4_mescL",5
"consensusOV","konecny","IMR_consensus","C1_immL",92
"consensusOV","konecny","IMR_consensus","C2_diffL",13
"consensusOV","konecny","IMR_consensus","C4_mescL",10
"consensusOV","konecny","MES_consensus","C1_immL",3
"consensusOV","konecny","MES_consensus","C2_diffL",1
"consensusOV","konecny","MES_consensus","C3_profL",20
"consensusOV","konecny","MES_consensus","C4_mescL",67
"consensusOV","konecny","PRO_consensus","C1_immL",1
"consensusOV","konecny","PRO_consensus","C2_diffL",43
"consensusOV","konecny","PRO_consensus","C3_profL",50
"consensusOV","helland","DIF_consensus","C1",9
"consensusOV","helland","DIF_consensus","C2",15
"consensusOV","helland","DIF_consensus","C4",73
"consensusOV","helland","DIF_consensus","C5",20
"consensusOV","helland","IMR_consensus","C1",9
"consensusOV","helland","IMR_consensus","C2",73
"consensusOV","helland","IMR_consensus","C4",24
"consensusOV","helland","IMR_consensus","C5",9
"consensusOV","helland","MES_consensus","C1",75
"consensusOV","helland","MES_consensus","C2",1
"consensusOV","helland","MES_consensus","C5",15
"consensusOV","helland","PRO_consensus","C1",3
"consensusOV","helland","PRO_consensus","C2",2
"consensusOV","helland","PRO_consensus","C4",5
"consensusOV","helland","PRO_consensus","C5",84
"consensusOV","verhaak","DIF_consensus","DIF",99
"consensusOV","verhaak","DIF_consensus","IMR",5
"consensusOV","verhaak","DIF_consensus","PRO",13
"consensusOV","verhaak","IMR_consensus","DIF",10
"consensusOV","verhaak","IMR_consensus","IMR",99
"consensusOV","verhaak","IMR_consensus","MES",2
"consensusOV","verhaak","IMR_consensus","PRO",4
"consensusOV","verhaak","MES_consensus","DIF",17
"consensusOV","verhaak","MES_consensus","IMR",8
"consensusOV","verhaak","MES_consensus","MES",63
"consensusOV","verhaak","MES_consensus","PRO",3
"consensusOV","verhaak","PRO_consensus","DIF",2
"consensusOV","verhaak","PRO_consensus","IMR",1
"consensusOV","verhaak","PRO_consensus","MES",5
"consensusOV","verhaak","PRO_consensus","PRO",86
"consensusOV","bentink","DIF_consensus","nonAngiogenic",117
"consensusOV","bentink","IMR_consensus","Angiogenic",4
"consensusOV","bentink","IMR_consensus","nonAngiogenic",111
"consensusOV","bentink","MES_consensus","Angiogenic",46
"consensusOV","bentink","MES_consensus","nonAngiogenic",45
"consensusOV","bentink","PRO_consensus","nonAngiogenic",94
"konecny","helland","C1_immL","C1",7
"konecny","helland","C1_immL","C2",72
"konecny","helland","C1_immL","C4",22
"konecny","helland","C1_immL","C5",9
"konecny","helland","C2_diffL","C1",1
"konecny","helland","C2_diffL","C2",12
"konecny","helland","C2_diffL","C4",73
"konecny","helland","C2_diffL","C5",55
"konecny","helland","C3_profL","C1",18
"konecny","helland","C3_profL","C2",2
"konecny","helland","C3_profL","C4",5
"konecny","helland","C3_profL","C5",59
"konecny","helland","C4_mescL","C1",70
"konecny","helland","C4_mescL","C2",5
"konecny","helland","C4_mescL","C4",2
"konecny","helland","C4_mescL","C5",5
"konecny","verhaak","C1_immL","DIF",20
"konecny","verhaak","C1_immL","IMR",86
"konecny","verhaak","C1_immL","MES",2
"konecny","verhaak","C1_immL","PRO",2
"konecny","verhaak","C2_diffL","DIF",72
"konecny","verhaak","C2_diffL","IMR",12
"konecny","verhaak","C2_diffL","MES",1
"konecny","verhaak","C2_diffL","PRO",56
"konecny","verhaak","C3_profL","DIF",21
"konecny","verhaak","C3_profL","IMR",1
"konecny","verhaak","C3_profL","MES",16
"konecny","verhaak","C3_profL","PRO",46
"konecny","verhaak","C4_mescL","DIF",15
"konecny","verhaak","C4_mescL","IMR",14
"konecny","verhaak","C4_mescL","MES",51
"konecny","verhaak","C4_mescL","PRO",2
"konecny","bentink","C1_immL","Angiogenic",3
"konecny","bentink","C1_immL","nonAngiogenic",107
"konecny","bentink","C2_diffL","nonAngiogenic",141
"konecny","bentink","C3_profL","Angiogenic",5
"konecny","bentink","C3_profL","nonAngiogenic",79
"konecny","bentink","C4_mescL","Angiogenic",42
"konecny","bentink","C4_mescL","nonAngiogenic",40
"helland","verhaak","C1","DIF",22
"helland","verhaak","C1","IMR",13
"helland","verhaak","C1","MES",58
"helland","verhaak","C1","PRO",3
"helland","verhaak","C2","DIF",21
"helland","verhaak","C2","IMR",68
"helland","verhaak","C2","PRO",2
"helland","verhaak","C4","DIF",63
"helland","verhaak","C4","IMR",24
"helland","verhaak","C4","PRO",15
"helland","verhaak","C5","DIF",22
"helland","verhaak","C5","IMR",8
"helland","verhaak","C5","MES",12
"helland","verhaak","C5","PRO",86
"helland","bentink","C1","Angiogenic",49
"helland","bentink","C1","nonAngiogenic",47
"helland","bentink","C2","Angiogenic",1
"helland","bentink","C2","nonAngiogenic",90
"helland","bentink","C4","nonAngiogenic",102
"helland","bentink","C5","nonAngiogenic",128
"verhaak","bentink","DIF","Angiogenic",4
"verhaak","bentink","DIF","nonAngiogenic",124
"verhaak","bentink","IMR","Angiogenic",9
"verhaak","bentink","IMR","nonAngiogenic",104
"verhaak","bentink","MES","Angiogenic",36
"verhaak","bentink","MES","nonAngiogenic",34
"verhaak","bentink","PRO","Angiogenic",1
"verhaak","bentink","PRO","nonAngiogenic",105
