"case_submitter_id","sample_type_code","sample_barcode","aliquot_barcode","sample","qc_flag","qc_dnu","qc_center_failed","qc_low_coverage","qc_high_mitochondrial","annotation_categories","annotation_notes","consensusOV_subtype","konecny_subtype","helland_subtype","verhaak_subtype","bentink_subtype"
"TCGA-04-1331","01","TCGA-04-1331-01A","TCGA-04-1331-01A-01R-1569-13","bfcea1b8-fb75-4e7b-972b-620d9f1fc3bb.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","PRO_consensus","C3_profL","C5","PRO","nonAngiogenic"
"TCGA-04-1332","01","TCGA-04-1332-01A","TCGA-04-1332-01A-01R-1564-13","bb5d75c1-c4fb-440f-8f09-0be3dd6b7daf.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:HIGH rRNA CONTENT","PRO_consensus","C3_profL","C1","MES","nonAngiogenic"
"TCGA-04-1337","01","TCGA-04-1337-01A","TCGA-04-1337-01A-01R-1564-13","ce797402-bbd4-4ad0-8b02-b44d6b30f70e.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","MES_consensus","C4_mescL","C1","MES","Angiogenic"
"TCGA-04-1338","01","TCGA-04-1338-01A","TCGA-04-1338-01A-01R-1564-13","dc82e1cb-e108-4727-ba00-1beced69a2f3.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","MES_consensus","C4_mescL","C5","MES","nonAngiogenic"
"TCGA-04-1341","01","TCGA-04-1341-01A","TCGA-04-1341-01A-01R-1564-13","6bc01daa-5c11-4c87-916f-09e6fec65c5a.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","PRO_consensus","C2_diffL","C5","PRO","nonAngiogenic"
"TCGA-04-1343","01","TCGA-04-1343-01A","TCGA-04-1343-01A-01R-1564-13","2d7f98e2-8e4c-48aa-9c87-e9953e952689.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C1","DIF","nonAngiogenic"
"TCGA-04-1347","01","TCGA-04-1347-01A","TCGA-04-1347-01A-01R-1564-13","c42ab178-9ded-405c-8eab-69583c4b1ad0.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","PRO_consensus","C3_profL","C5","PRO","nonAngiogenic"
"TCGA-04-1350","01","TCGA-04-1350-01A","TCGA-04-1350-01A-01R-1565-13","50c62016-a463-4dba-a179-146df17fb5dd.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","PRO_consensus","C2_diffL","C5","PRO","nonAngiogenic"
"TCGA-04-1356","01","TCGA-04-1356-01A","TCGA-04-1356-01A-01R-1569-13","36aef44f-03b6-4aff-bc8a-dfbc664dd2d0.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","PRO_consensus","C2_diffL","C5","IMR","nonAngiogenic"
"TCGA-04-1361","01","TCGA-04-1361-01A","TCGA-04-1361-01A-01R-1565-13","c2be3377-97dd-42be-887d-c9bf57034c98.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-04-1517","01","TCGA-04-1517-01A","TCGA-04-1517-01A-01R-1565-13","615dafd3-130a-4a7c-9e27-a3632c2be831.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-04-1530","01","TCGA-04-1530-01A","TCGA-04-1530-01A-02R-1569-13","f691c28c-5b0d-4b28-8b05-030dd07a2b13.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:HIGH rRNA CONTENT;LOW 5/3 COVERAGE RATIO","MES_consensus","C4_mescL","C1","MES","nonAngiogenic"
"TCGA-04-1536","01","TCGA-04-1536-01A","TCGA-04-1536-01A-01R-1566-13","1eacd17c-5634-465d-83d4-d39d136d0ce2.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-04-1542","01","TCGA-04-1542-01A","TCGA-04-1542-01A-01R-1566-13","d779f8e6-b653-4d7e-bfa4-729b9caf329d.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:INSUFFICIENT INPUT MATERIAL,LOW SEQUENCE YIELD/DIVERSITY;LOW 5/3 COVERAGE RATIO","PRO_consensus","C2_diffL","C5","PRO","nonAngiogenic"
"TCGA-04-1648","01","TCGA-04-1648-01A","TCGA-04-1648-01A-01R-1567-13","1730a0a1-8a5a-4532-a35e-4e4db4a4b4b6.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C2_diffL","C2","DIF","nonAngiogenic"
"TCGA-04-1651","01","TCGA-04-1651-01A","TCGA-04-1651-01A-01R-1567-13","68f32d39-8608-443c-ac04-95f12812fb72.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
