"sample","assigned_subtype","max_score","DIF","IMR","MES","PRO"
"8fd3c3ec-c5c5-4ded-bcbb-387ddc1ba5f7.rna_seq.augmented_star_gene_counts.tsv","IMR",0.574629470325991,0.504055807821445,0.574629470325991,0.450775964324952,0.500672326439742
"c42ab178-9ded-405c-8eab-69583c4b1ad0.rna_seq.augmented_star_gene_counts.tsv","PRO",0.854328974334602,0.0904455614379821,0.191036782248461,0.474345399910221,0.854328974334602
"04eeb9f5-2fd6-4df3-ade8-cdb8d77f4273.rna_seq.augmented_star_gene_counts.tsv","IMR",0.871454740366801,0.784113438300352,0.871454740366801,0.463092506592428,0.194654758780339
"a14ac53b-7e97-46f3-9dce-41a2a9010f17.rna_seq.augmented_star_gene_counts.tsv","PRO",0.755153681211705,0.374464602641393,0.608515968335208,0.499655207820426,0.755153681211705
"d6326578-95eb-4f9e-967c-47fb32c04166.rna_seq.augmented_star_gene_counts.tsv","IMR",0.813822667616983,0.58597077676264,0.813822667616983,0.3795978988928,0.333365371036178
"a761adf7-b265-4d1d-90be-82dbfd776e45.rna_seq.augmented_star_gene_counts.tsv","DIF",0.737460987921198,0.737460987921198,0.579947905001103,0.580972370532756,0.256878072506336
"86e119a6-1c89-4a1d-9823-2fb95e180ea8.rna_seq.augmented_star_gene_counts.tsv","MES",0.39822865237524,0.301077317375371,0.373025893555755,0.39822865237524,0.363682746110786
"d6c55f59-f1cd-48bf-9628-94fcfb867bff.rna_seq.augmented_star_gene_counts.tsv","IMR",0.812210084575839,0.712678629929607,0.812210084575839,0.539980277494618,0.273230827955145
"b6bc859c-c245-47ba-9c47-92c1c33d42c8.rna_seq.augmented_star_gene_counts.tsv","IMR",0.539705320047105,0.534548578095739,0.539705320047105,0.332870607801459,0.375450027536474
"98990aa6-30f1-4a05-aecb-a13b907c2f57.rna_seq.augmented_star_gene_counts.tsv","PRO",0.655670277546153,0.479604664611689,0.537183394015652,0.491733443740961,0.655670277546153
"7d8d9d6c-b701-4eda-8e36-c36ca7c90903.rna_seq.augmented_star_gene_counts.tsv","IMR",0.896458523909844,0.813221639073414,0.896458523909844,0.353275384687382,0
