project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
TCGA-OV	ff844242-7559-4b07-b09e-69ea40e5ac6b	TCGA-25-1871	19e1d694-4cae-4fd9-92fb-4d8395c8d75a	TCGA-25-1871-01A	1247529600.0	false	3f64feb8-5ec9-40b9-a65b-47b222af16d4	01	released	TCGA-25-1871-01A-01	102.0
TCGA-OV	ff844242-7559-4b07-b09e-69ea40e5ac6b	TCGA-25-1871	4d8c0a8e-d007-4c8b-9f79-89000b186d0d	TCGA-25-1871-01Z	'--	'--	6458ab27-d818-5e88-bb75-0a6ac3c81c47	'--	'--	'--	'--
TCGA-OV	ff844242-7559-4b07-b09e-69ea40e5ac6b	TCGA-25-1871	f772636b-4c9e-4518-aaf6-e00303aeedcf	TCGA-25-1871-10A	1310601600.0	false	6d19634c-4c00-46c4-aba1-4e823f7e64a5	01	released	TCGA-25-1871-10A-01	'--
TCGA-OV	ae5fa7cb-1984-423f-aa88-571314860943	TCGA-23-2649	24571db7-4af5-48cc-93e1-48c3dee155b2	TCGA-23-2649-10A	1259539200.0	false	e88577a6-bbcd-4999-8b56-97272eb7ea04	01	released	TCGA-23-2649-10A-01	'--
TCGA-OV	ae5fa7cb-1984-423f-aa88-571314860943	TCGA-23-2649	d663817a-472d-45d9-818a-da26258ff62f	TCGA-23-2649-01A	1297123200.0	false	2d3ae942-c1d4-4e80-a0e1-4b7fbc15952a	21	released	TCGA-23-2649-01A-21-1561-20	13.0
TCGA-OV	ae5fa7cb-1984-423f-aa88-571314860943	TCGA-23-2649	d663817a-472d-45d9-818a-da26258ff62f	TCGA-23-2649-01A	'--	'--	6ad06cbf-4ba1-4e9a-9fb9-d6048d6c804d	'--	released	TCGA-23-2649-01A-21	'--
TCGA-OV	ae5fa7cb-1984-423f-aa88-571314860943	TCGA-23-2649	d663817a-472d-45d9-818a-da26258ff62f	TCGA-23-2649-01A	1267660800.0	false	960af120-b289-4053-85ac-9cbc7bf67413	01	released	TCGA-23-2649-01A-01	126.0
TCGA-OV	ae5fa7cb-1984-423f-aa88-571314860943	TCGA-23-2649	ed476bb2-8441-4f30-ad37-5d5d3eeb1302	TCGA-23-2649-01Z	'--	'--	b719672f-f429-551c-b712-f824d4130fbe	'--	'--	'--	'--
TCGA-OV	e43d3769-e25f-4fb7-9080-ea26defaf094	TCGA-13-0906	0a0de14f-f9ea-44ce-ad92-836f43ef7908	TCGA-13-0906-10A	1310601600.0	false	4845f2c8-fdb1-48f6-8169-3c59d43d79c4	01	released	TCGA-13-0906-10A-01	'--
TCGA-OV	e43d3769-e25f-4fb7-9080-ea26defaf094	TCGA-13-0906	a0c48680-3caf-49bd-b495-c9fd3a9cbe76	TCGA-13-0906-01A	1297209600.0	false	80aaf315-cf54-47e5-b82a-1343e25938ca	21	released	TCGA-13-0906-01A-21-1561-20	12.0
TCGA-OV	e43d3769-e25f-4fb7-9080-ea26defaf094	TCGA-13-0906	a0c48680-3caf-49bd-b495-c9fd3a9cbe76	TCGA-13-0906-01A	1233705600.0	false	908c128c-736e-43ac-b3b9-79b7d6e14632	01	released	TCGA-13-0906-01A-01	150.0
TCGA-OV	e43d3769-e25f-4fb7-9080-ea26defaf094	TCGA-13-0906	a0c48680-3caf-49bd-b495-c9fd3a9cbe76	TCGA-13-0906-01A	'--	'--	fb8f1b21-ab70-44a4-b96d-41f72d42e73c	'--	released	TCGA-13-0906-01A-21	'--
TCGA-OV	13f5814c-1f99-4ffa-84a4-3bbd8979faae	TCGA-13-1477	79908395-d442-44a3-8e91-97c3ae97ddd5	TCGA-13-1477-01A	'--	'--	11249749-d41d-4f9e-a1c5-88127e61da2f	'--	released	TCGA-13-1477-01A-21	'--
TCGA-OV	13f5814c-1f99-4ffa-84a4-3bbd8979faae	TCGA-13-1477	79908395-d442-44a3-8e91-97c3ae97ddd5	TCGA-13-1477-01A	1234310400.0	false	25956b20-bce2-4ef6-931d-2bc6cf856486	01	released	TCGA-13-1477-01A-01	132.0
TCGA-OV	13f5814c-1f99-4ffa-84a4-3bbd8979faae	TCGA-13-1477	79908395-d442-44a3-8e91-97c3ae97ddd5	TCGA-13-1477-01A	1297209600.0	false	fa473bf9-b927-4d17-ac77-ad0e52f01cac	21	released	TCGA-13-1477-01A-21-1562-20	15.0
TCGA-OV	13f5814c-1f99-4ffa-84a4-3bbd8979faae	TCGA-13-1477	d5df4f4c-43dd-4208-bad3-05f109fc0346	TCGA-13-1477-10A	1310601600.0	false	4d38afd8-21a2-4fc2-a227-ceedaf10b48b	01	released	TCGA-13-1477-10A-01	'--
TCGA-OV	f7dece2a-d12c-4363-b8c3-2683c32d8271	TCGA-36-2533	5ed1a91f-e14f-4220-a41e-f23ebd6cf72d	TCGA-36-2533-01A	'--	'--	5f8c7ac5-ea42-4392-a225-c39d93d8f4b0	'--	released	TCGA-36-2533-01A-21	'--
TCGA-OV	f7dece2a-d12c-4363-b8c3-2683c32d8271	TCGA-36-2533	5ed1a91f-e14f-4220-a41e-f23ebd6cf72d	TCGA-36-2533-01A	1297123200.0	false	6b83e35e-5d42-43db-a0cc-a5979af12af3	21	released	TCGA-36-2533-01A-21-1560-20	12.0
TCGA-OV	f7dece2a-d12c-4363-b8c3-2683c32d8271	TCGA-36-2533	5ed1a91f-e14f-4220-a41e-f23ebd6cf72d	TCGA-36-2533-01A	1267401600.0	false	a2ad5f03-4ba4-4e60-966d-61ebb54aac53	01	released	TCGA-36-2533-01A-01	133.0
TCGA-OV	f7dece2a-d12c-4363-b8c3-2683c32d8271	TCGA-36-2533	6641723d-285a-4158-b6d8-1bfe300068d9	TCGA-36-2533-10A	1268784000.0	false	e16e1a91-962c-4517-9b13-d95ee951d20f	01	released	TCGA-36-2533-10A-01	'--
TCGA-OV	ed21615c-0de3-421c-9e8d-8996026c4431	TCGA-57-1584	99287cbc-e4d4-4d24-b373-7865b7905727	TCGA-57-1584-01A	1237161600.0	false	3db9d93f-0752-4cc9-b00d-aaba1b4ea3c8	01	released	TCGA-57-1584-01A-01	147.0
TCGA-OV	ed21615c-0de3-421c-9e8d-8996026c4431	TCGA-57-1584	f2f1c3da-cbc7-4b11-888d-ed81b9a685d4	TCGA-57-1584-11A	1238371200.0	false	f311bebb-7c67-40a2-9210-6a39dab35262	01	released	TCGA-57-1584-11A-01	107.0
TCGA-OV	9ec86cbd-8c74-4697-90da-529ab91ab835	TCGA-24-1843	737481f9-845a-4c7a-b12f-881d9da3998a	TCGA-24-1843-01A	1245628800.0	false	d7087367-20fa-4b50-b1c3-65a703834738	01	released	TCGA-24-1843-01A-01	100.0
TCGA-OV	9ec86cbd-8c74-4697-90da-529ab91ab835	TCGA-24-1843	92f26d59-de6a-4aa2-a688-c03e2064c210	TCGA-24-1843-10A	1310601600.0	false	cffe4d03-11a3-4801-8f29-9adc74b8f716	01	released	TCGA-24-1843-10A-01	'--
TCGA-OV	bc84c5c5-1785-4edd-b732-8987f862063e	TCGA-5X-AA5U	31918131-5d15-40f7-8a49-a5f1210dc680	TCGA-5X-AA5U-10A	1395273600.0	false	02de0357-1ecd-4fa9-99cf-923d123d8e7b	01	released	TCGA-5X-AA5U-10A-01	2.0
TCGA-OV	bc84c5c5-1785-4edd-b732-8987f862063e	TCGA-5X-AA5U	5c0cc8ee-fec8-4b38-a6e5-5bd2de230b71	TCGA-5X-AA5U-01Z	'--	'--	65531794-2fe0-5c29-9395-126191b1f6da	'--	'--	'--	'--
TCGA-OV	bc84c5c5-1785-4edd-b732-8987f862063e	TCGA-5X-AA5U	e2d8b59b-b044-4aad-9e1b-f88c3208df3a	TCGA-5X-AA5U-01A	1405728000.0	false	3372257b-b9f7-42af-8ec4-ac69618a0a35	21	released	TCGA-5X-AA5U-01A-21-A45I-20	20.0
TCGA-OV	bc84c5c5-1785-4edd-b732-8987f862063e	TCGA-5X-AA5U	e2d8b59b-b044-4aad-9e1b-f88c3208df3a	TCGA-5X-AA5U-01A	'--	'--	9ae291cb-bf52-488c-93d6-f74b1bb83572	'--	released	TCGA-5X-AA5U-01A-21	'--
TCGA-OV	bc84c5c5-1785-4edd-b732-8987f862063e	TCGA-5X-AA5U	e2d8b59b-b044-4aad-9e1b-f88c3208df3a	TCGA-5X-AA5U-01A	1394755200.0	false	b85cb060-6a51-443a-9557-24f6c912e428	11	released	TCGA-5X-AA5U-01A-11	30.0
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	41b8564a-48df-44ab-9242-8d1d89697658	TCGA-29-2427-01A	1331164800.0	false	04f1d4d5-a497-4531-b95d-acb6bfcfdddf	31	released	TCGA-29-2427-01A-31-2222-28	69.0
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	41b8564a-48df-44ab-9242-8d1d89697658	TCGA-29-2427-01A	1252972800.0	false	07a1666c-2b86-4021-a6f9-2ea4b06ebef9	01	released	TCGA-29-2427-01A-01	159.0
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	41b8564a-48df-44ab-9242-8d1d89697658	TCGA-29-2427-01A	1331251200.0	false	1e98e6f8-b6ce-4670-95c2-5fd57e2f4310	32	released	TCGA-29-2427-01A-32-2225-29	73.0
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	41b8564a-48df-44ab-9242-8d1d89697658	TCGA-29-2427-01A	1297123200.0	false	596d6d8e-d15c-442b-bcd4-ed2dec59aef2	21	released	TCGA-29-2427-01A-21-1560-20	15.0
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	41b8564a-48df-44ab-9242-8d1d89697658	TCGA-29-2427-01A	'--	'--	bda94791-19d9-4fb9-b16a-f3c873827b72	'--	released	TCGA-29-2427-01A-21	'--
TCGA-OV	6f25001a-f890-4fd0-a994-e62a9ea5c6f3	TCGA-29-2427	7ee7f3c1-2c6f-49c8-8477-4c76e7b4e4de	TCGA-29-2427-10A	1251417600.0	false	dcb023b0-9a08-47c4-91c5-a35f1f8faf98	01	released	TCGA-29-2427-10A-01	'--
TCGA-OV	8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024	3b5093a6-973f-4882-a7bf-8175cc1f78dc	TCGA-23-1024-01Z	'--	'--	8c5576f2-0cf2-5b7b-9911-bb38d86f4997	'--	'--	'--	'--
TCGA-OV	8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024	900d19a5-1ef3-4353-a162-278bae03ae5b	TCGA-23-1024-10A	1310601600.0	false	acc63edf-0031-4a02-b34e-3cda27b8ee06	01	released	TCGA-23-1024-10A-01	'--
TCGA-OV	8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024	96430cd1-1f32-4d4e-ae16-e39df6405739	TCGA-23-1024-01A	1233705600.0	false	ea0fd884-e677-4f95-b02d-2abda1ba9efb	02	released	TCGA-23-1024-01A-02	85.0
TCGA-OV	3b81ec7c-0934-4649-9231-9919dd26dd15	TCGA-24-1549	358170c2-998a-4857-b67b-8fa9c4f42ca0	TCGA-24-1549-10A	1310601600.0	false	a3c22c22-1196-4752-834b-5c978d84ca91	01	released	TCGA-24-1549-10A-01	'--
TCGA-OV	3b81ec7c-0934-4649-9231-9919dd26dd15	TCGA-24-1549	cd81e8c8-2526-4427-a1db-6ce6bff105e6	TCGA-24-1549-01A	'--	'--	30a009ab-39ab-4b28-8e75-d23157786c9e	'--	released	TCGA-24-1549-01A-21	'--
TCGA-OV	3b81ec7c-0934-4649-9231-9919dd26dd15	TCGA-24-1549	cd81e8c8-2526-4427-a1db-6ce6bff105e6	TCGA-24-1549-01A	1297641600.0	false	b18db100-89ea-409a-841a-e90e9e9b65b2	21	released	TCGA-24-1549-01A-21-1558-20	'--
TCGA-OV	3b81ec7c-0934-4649-9231-9919dd26dd15	TCGA-24-1549	cd81e8c8-2526-4427-a1db-6ce6bff105e6	TCGA-24-1549-01A	1235088000.0	false	d330ec1f-4010-4899-be2d-e33487e82044	01	released	TCGA-24-1549-01A-01	112.0
TCGA-OV	195ecf43-06bd-4ffe-8d8b-a766f3f7179b	TCGA-24-1418	94a7bf49-bd7a-42f1-be31-5da536c24f21	TCGA-24-1418-10A	1310601600.0	false	a4fb0a92-fde5-4ca9-a618-acdda861b578	01	released	TCGA-24-1418-10A-01	'--
TCGA-OV	195ecf43-06bd-4ffe-8d8b-a766f3f7179b	TCGA-24-1418	b40f7345-8f0c-4db7-90ba-424ae5ee22ed	TCGA-24-1418-01A	1231977600.0	false	f685a0da-d011-4e2d-b40b-7aaabf4185fd	01	released	TCGA-24-1418-01A-01	135.0
TCGA-OV	47681e4b-01e8-4779-b966-ce57aff4b712	TCGA-61-2097	7e05ef4b-a326-4d4e-804a-0c861b9592ed	TCGA-61-2097-11A	1250640000.0	false	d1f4e282-cd96-43eb-9138-93c360057736	01	released	TCGA-61-2097-11A-01	120.0
TCGA-OV	47681e4b-01e8-4779-b966-ce57aff4b712	TCGA-61-2097	dfcd4fbd-4441-40aa-a36a-13383c8d7f1a	TCGA-61-2097-01A	1250208000.0	false	89ea3bd2-aab1-4a5f-9d40-f4a2d31543e7	02	released	TCGA-61-2097-01A-02	125.0
TCGA-OV	e8372916-7ac7-4535-ae97-0248208224f5	TCGA-13-0894	38eb582a-b664-4b73-905a-680671301615	TCGA-13-0894-01B	1230508800.0	false	323bb1d6-dfe9-4b6f-b586-a592bde91ae2	01	released	TCGA-13-0894-01B-01	142.0
TCGA-OV	e8372916-7ac7-4535-ae97-0248208224f5	TCGA-13-0894	38eb582a-b664-4b73-905a-680671301615	TCGA-13-0894-01B	'--	'--	7c866e11-f258-432b-ab77-37eff2b26e25	'--	released	TCGA-13-0894-01B-03	'--
TCGA-OV	e8372916-7ac7-4535-ae97-0248208224f5	TCGA-13-0894	38eb582a-b664-4b73-905a-680671301615	TCGA-13-0894-01B	1297209600.0	false	7e63800a-f2db-4a2a-82ab-2867707caf14	3	released	TCGA-13-0894-01B-03-1562-20	15.0
TCGA-OV	e8372916-7ac7-4535-ae97-0248208224f5	TCGA-13-0894	3c68d5e6-4028-4770-b5e5-1f5ce99b8f0e	TCGA-13-0894-10A	1310601600.0	false	7ee1557a-7e52-451d-924c-7b73b018bf4e	01	released	TCGA-13-0894-10A-01	'--
TCGA-OV	bc2591b0-65d7-48c3-a5cc-783f67b65869	TCGA-25-1635	304327f1-aa3a-41b5-9202-8ed0588b24ed	TCGA-25-1635-10A	1310601600.0	false	2eb67f91-e32f-4c02-9919-c4fead32a3f4	01	released	TCGA-25-1635-10A-01	'--
